2016-12-27 23:10:53,407 : INFO : Machine : Mission Pinball Framework Core Engine v0.32.6
2016-12-27 23:10:53,408 : INFO : Machine : Machine path: C:\pinball\redskullstest
2016-12-27 23:10:54,004 : INFO : Machine : Loading cached config: C:\Users\Customer\AppData\Local\Temp\f6eef2de233280d1dd6b1c0885b8cc32config
2016-12-27 23:10:54,724 : INFO : BCPClientSocket.local_display : Connecting BCP to 'local_display' at localhost:5050...
2016-12-27 23:11:34,066 : INFO : BCPClientSocket.local_display : Connected BCP to 'local_display' localhost:5050
2016-12-27 23:11:34,745 : INFO : Mode.tilt : Mode Starting. Priority: 1000000
2016-12-27 23:11:34,749 : INFO : SwitchController : Active Switch|s_r_trough
2016-12-27 23:11:34,750 : INFO : SwitchController : Active Switch|s_l_trough
2016-12-27 23:11:34,753 : INFO : Mode.service : Mode Starting. Priority: 100000
2016-12-27 23:11:34,766 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-12-27 23:11:56,661 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:56,663 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:56,804 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:56,847 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:56,936 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:56,985 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:57,114 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:57,116 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:57,241 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:57,242 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:57,365 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:57,412 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:57,459 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:57,515 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:57,594 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:57,633 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:57,809 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:57,882 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:57,884 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:58,345 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:58,430 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:58,567 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:58,638 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:58,698 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:58,772 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:58,859 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:58,956 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:58,994 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:59,070 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:59,103 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:59,155 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:59,189 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:59,283 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:59,326 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:59,363 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:59,456 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:59,579 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:59,581 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:59,636 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:59,682 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:59,762 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:59,763 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:59,847 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:59,849 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:59,934 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:59,940 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:00,022 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:00,073 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:00,092 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:00,106 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:00,177 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:00,225 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:00,244 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:00,268 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:00,319 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:00,371 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:00,414 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:00,455 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:00,490 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:00,539 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:00,558 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:00,602 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:00,638 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:00,717 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:00,758 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:00,760 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:00,838 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:00,873 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:00,916 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:00,960 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:00,997 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:01,060 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:01,088 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:01,143 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:01,187 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:01,230 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:01,276 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:01,306 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:01,344 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:01,416 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:01,419 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:01,469 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:01,509 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:01,590 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:01,628 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:01,703 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:01,705 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:01,795 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:01,886 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:01,888 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:01,957 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:01,974 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:02,058 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:02,061 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:02,135 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:02,148 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:02,230 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:12:02,232 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:12:02,302 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:12:02,348 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:12:02,392 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
